initiator,severity,rawLog,module,date,organization,message
admin,Information,"Tue, 14 Aug 2018 11:59:32 -0400|admin|auth|INFO|0|Successful login for 'admin' from 157.182.59.106 (authentication type: tns).
",auth,"Tue, 14 Aug 2018 11:59:32 -0400",Application,Successful login for 'admin' from 157.182.59.106 (authentication type: tns).
,Warning,"Tue, 14 Aug 2018 11:59:23 -0400||error|WARNING|0|Invalid username/password combination for User admin from ip 157.182.59.106 (authentication type: password)
",error,"Tue, 14 Aug 2018 11:59:23 -0400",Application,Invalid username/password combination for User admin from ip 157.182.59.106 (authentication type: password)
admin,Information,"Tue, 14 Aug 2018 11:57:54 -0400|admin|auth|INFO|0|Successful login for 'admin' from 157.182.59.106 (authentication type: tns).
",auth,"Tue, 14 Aug 2018 11:57:54 -0400",Application,Successful login for 'admin' from 157.182.59.106 (authentication type: tns).
admin,Information,"Tue, 14 Aug 2018 11:57:34 -0400|admin|auth|INFO|0|Successful login for 'admin' from 157.182.59.106 (authentication type: tns).
",auth,"Tue, 14 Aug 2018 11:57:34 -0400",Application,Successful login for 'admin' from 157.182.59.106 (authentication type: tns).
admin,Information,"Tue, 14 Aug 2018 11:56:51 -0400|admin|auth|INFO|0|Successful login for 'admin' from 157.182.59.106 (authentication type: tns).
",auth,"Tue, 14 Aug 2018 11:56:51 -0400",Application,Successful login for 'admin' from 157.182.59.106 (authentication type: tns).
admin,Information,"Tue, 14 Aug 2018 11:55:21 -0400|admin|auth|INFO|0|Successful login for 'admin' from 157.182.59.106 (authentication type: tns).
",auth,"Tue, 14 Aug 2018 11:55:21 -0400",Application,Successful login for 'admin' from 157.182.59.106 (authentication type: tns).
Scan,Information,"Tue, 14 Aug 2018 11:45:02 -0400|Scan|message|INFO|0|No usable Scanners in Zone 'VCloud Air Zone' (id #9) - Skipping.
",message,"Tue, 14 Aug 2018 11:45:02 -0400",Application,No usable Scanners in Zone 'VCloud Air Zone' (id #9) - Skipping.
Scan,Information,"Tue, 14 Aug 2018 11:45:02 -0400|Scan|message|INFO|0|No usable Scanners in Zone 'Internal Hospitals' (id #7) - Skipping.
",message,"Tue, 14 Aug 2018 11:45:02 -0400",Application,No usable Scanners in Zone 'Internal Hospitals' (id #7) - Skipping.
Scan,Information,"Tue, 14 Aug 2018 11:45:01 -0400|Scan|message|INFO|4|Scan job #10529369 ('ITS-RESEARCH FULL Authenticated 157 Scan' - #128) has acquired Scan 'ITS-RESEARCH FULL Authenticated 157 Scan' (launched by ITS - RESEARCH  [ITS - RESEARCH]).
",message,"Tue, 14 Aug 2018 11:45:01 -0400",West Virginia University,Scan job #10529369 ('ITS-RESEARCH FULL Authenticated 157 Scan' - #128) has acquired Scan 'ITS-RESEARCH FULL Authenticated 157 Scan' (launched by ITS - RESEARCH  [ITS - RESEARCH]).
Scan,Information,"Tue, 14 Aug 2018 11:45:01 -0400|Scan|message|INFO|4|Scan job #10529369 starting...
",message,"Tue, 14 Aug 2018 11:45:01 -0400",West Virginia University,Scan job #10529369 starting...
